p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
4567,20857489,20857483,6,4,60,143
4583,21003889,21003887,2,2,44,143
4591,21077281,21077257,24,4,60,143
4597,21132409,21132383,26,6,60,143
4603,21187609,21187597,12,4,60,143
4621,21353641,21353639,2,2,44,143
4637,21501769,21501737,32,2,44,143
4639,21520321,21520307,14,2,44,143
4643,21557449,21557447,2,2,44,143
4649,21613201,21613199,2,2,44,143
4651,21631801,21631777,24,4,60,143
4657,21687649,21687641,8,2,44,143
4663,21743569,21743551,18,6,60,143
4673,21836929,21836921,8,2,44,143
4679,21893041,21893009,32,2,44,143
4691,22005481,22005449,32,2,44,143
4703,22118209,22118179,30,4,60,144
4721,22287841,22287829,12,4,60,144
4723,22306729,22306727,2,2,44,144
4729,22363441,22363433,8,6,60,144
4733,22401289,22401259,30,4,60,144
4751,22572001,22571987,14,2,44,144
4759,22648081,22648051,30,6,60,144
4783,22877089,22877081,8,2,44,144
4787,22915369,22915363,6,4,60,144
4789,22934521,22934503,18,4,60,144
4793,22972849,22972847,2,2,44,144
4799,23030401,23030389,12,4,60,144
4801,23049601,23049571,30,6,60,144
4813,23164969,23164963,6,4,60,144
4817,23203489,23203483,6,4,60,144
4831,23338561,23338547,14,2,44,144
4861,23629321,23629313,8,6,60,145
4871,23726641,23726603,38,6,60,145
4877,23785129,23785121,8,2,44,145
4889,23902321,23902309,12,4,60,145
4903,24039409,24039397,12,4,60,145
4909,24098281,24098209,72,4,60,145
4919,24196561,24196541,20,2,44,145
4931,24314761,24314753,8,6,60,145
4933,24334489,24334481,8,2,44,145
4937,24373969,24373963,6,4,60,145
4943,24433249,24433243,6,4,60,145
4951,24512401,24512399,2,2,44,145
4957,24571849,24571847,2,2,44,145
4967,24671089,24671081,8,2,44,145
4969,24690961,24690929,32,2,44,145
4973,24730729,24730669,60,4,60,145
4987,24870169,24870161,8,2,44,145
4993,24930049,24930047,2,2,44,146
4999,24990001,24989971,30,6,60,146
5003,25030009,25029959,50,2,44,146
5009,25090081,25090069,12,4,60,146
5011,25110121,25110119,2,2,44,146
5021,25210441,25210433,8,6,60,146
5023,25230529,25230511,18,6,60,146
5039,25391521,25391479,42,4,60,146
5051,25512601,25512593,8,6,60,146
5059,25593481,25593461,20,2,44,146
5077,25775929,25775917,12,4,60,146
5081,25816561,25816547,14,2,44,146
5087,25877569,25877567,2,2,44,146
5099,25999801,25999751,50,2,44,146
5101,26020201,26020157,44,2,44,146
5107,26081449,26081437,12,4,60,146
5113,26142769,26142737,32,2,44,146
