scale,vector_mode,candidate_domain,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selected_delta_from_true,selected_csr,min_tie_count,candidate_count,vector_length_used,failure_mode
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999998627,999999999998641,999999999998711,999999999998642,-69,0,4,114,14,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999998627,999999999998641,999999999998711,999999999998683,-28,1,2,8,14,selected_too_early
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999998627,999999999998641,999999999998711,999999999998642,-69,0,4,128,14,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999998627,999999999998641,999999999998711,999999999998683,-28,1,2,9,14,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999998563,999999999998579,999999999998581,999999999998595,14,9,1,112,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999998563,999999999998579,999999999998581,999999999998621,40,11,2,9,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999998563,999999999998579,999999999998581,999999999998699,118,8,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999998563,999999999998579,999999999998581,999999999998621,40,11,2,9,128,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999998563,999999999998579,999999999998581,999999999998580,-1,0,3,112,16,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999998563,999999999998579,999999999998581,999999999998599,18,1,2,9,16,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999998563,999999999998579,999999999998581,999999999998580,-1,0,3,128,16,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999998563,999999999998579,999999999998581,999999999998599,18,1,2,9,16,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999998533,999999999998537,999999999998563,999999999998573,10,9,1,124,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999998533,999999999998537,999999999998563,999999999998563,0,11,2,9,128,correct
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999998533,999999999998537,999999999998563,999999999998573,10,9,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999998533,999999999998537,999999999998563,999999999998563,0,11,2,9,128,correct
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999998533,999999999998537,999999999998563,999999999998538,-25,0,9,124,4,selected_too_early
